z	press	T	Td	WD	WS
2	1007	16.6	12.6	80	6
62	1000	16.4	11.5	90	12
269	976	NaN	NaN	95	16
336	968	14.8	11.2	NaN	NaN
432	957	15.6	12.0	NaN	NaN
521	947	20.0	14.0	NaN	NaN
603	938	21.0	13.0	NaN	NaN
640	934	22.2	13.2	NaN	NaN
729	925	21.6	12.6	120	13
1003	896	NaN	NaN	130	14
1099	886	NaN	NaN	130	15
1118	884	20.0	11.0	NaN	NaN
1458	850	17.0	10.0	135	14
1761	820	14.6	5.6	NaN	NaN
1966	800	NaN	NaN	145	14
2253	773	10.0	5.8	NaN	NaN
2427	757	NaN	NaN	145	13
2568	744	7.6	0.5	NaN	NaN
2769	726	7.6	-1.4	NaN	NaN
3079	700	5.6	-2.4	175	15
3169	692	NaN	NaN	180	15
3208	689	4.8	-2.1	NaN	NaN
3726	646	-0.1	-4.0	NaN	NaN
4034	621	NaN	NaN	160	15
4053	620	-1.7	-8.7	NaN	NaN
4312	600	-4.1	-10.1	165	13
4578	580	-5.7	-15.7	NaN	NaN
4809	563	-7.9	-16.9	NaN	NaN
4920	555	-8.3	-22.3	NaN	NaN
5076	544	NaN	NaN	180	10
5566	510	-14.5	-23.5	NaN	NaN
5730	500	-15.3	-27.3	185	19
