           freq              Su              Sv              Sw
       0.000250       11.227697        2.111330        0.291096
       0.000510       11.223277        2.171312        0.289653
       0.000760       11.019268        2.158442        0.289536
       0.001020       11.000275        2.169687        0.289003
       0.001270       11.017084        2.169869        0.287482
       0.001520       10.951980        2.152579        0.286923
       0.001780       10.947716        2.154295        0.282399
       0.002030       10.924433        2.164877        0.276848
       0.002290       10.893649        2.211976        0.271466
       0.002540       10.722543        2.209246        0.265746
       0.002790       10.769421        2.171390        0.261820
       0.003050       10.801258        2.143479        0.266006
       0.003300       10.846368        2.107963        0.266019
       0.003560       10.890139        2.090517        0.272961
       0.003810       10.947469        2.076048        0.277316
       0.004060       11.059230        2.057796        0.277875
       0.004320       11.072191        2.046291        0.271102
       0.004570       11.121188        2.045680        0.270283
       0.004830       11.054186        2.018666        0.268541
       0.005080       11.140961        2.026739        0.267722
       0.005330       11.108188        2.031315        0.272740
       0.005590       10.797176        2.065375        0.267774
       0.005840       10.374299        2.124226        0.263900
       0.006100       10.390783        2.121704        0.268684
       0.006350       10.293296        2.132520        0.263380
       0.006600       10.284040        2.185664        0.267501
       0.006860       10.256116        2.205957        0.267111
       0.007110       10.067473        2.182609        0.267826
       0.007370        9.602658        2.136485        0.264667
       0.007620        9.241609        2.162797        0.263497
       0.007870        9.122880        2.256059        0.261976
       0.008130        9.150570        2.252055        0.256659
       0.008380        9.119578        2.268591        0.260364
       0.008640        9.067396        2.276118        0.261911
       0.008890        8.919092        2.318511        0.260637
       0.009140        8.735701        2.321046        0.259142
       0.009400        8.327982        2.334904        0.260611
       0.009650        8.189493        2.313636        0.261417
       0.009910        8.055853        2.196818        0.263029
       0.010160        7.829276        2.202161        0.261807
       0.010670        7.660588        2.167148        0.260953
       0.011305        7.080138        2.083926        0.260299
       0.011815        6.604514        2.145065        0.259220
       0.012447        6.492603        2.244563        0.259120
       0.013085        6.185335        2.250606        0.260559
       0.013717        5.361464        2.180083        0.263363
       0.014480        5.085032        2.182925        0.255428
       0.015243        4.282079        2.253329        0.237969
       0.016003        4.010730        2.267339        0.229896
       0.016767        3.945756        2.276499        0.223643
       0.017655        3.948311        2.226884        0.229274
       0.018543        3.739593        2.103547        0.217395
       0.019433        3.688246        2.132904        0.211624
       0.020450        3.361387        2.056181        0.213424
       0.021465        3.262789        1.914621        0.214143
       0.022608        3.235721        1.908696        0.224011
       0.023750        3.113552        1.863465        0.230978
       0.024894        2.732847        1.865929        0.225974
       0.026292        2.424988        1.752636        0.210866
       0.027688        2.229885        1.656426        0.195751
       0.029085        2.076048        1.539421        0.192389
       0.030612        1.932008        1.454236        0.197435
       0.032135        1.839153        1.326936        0.206986
       0.033786        1.712280        1.188685        0.206940
       0.035564        1.692431        1.143127        0.201350
       0.037341        1.746453        0.989627        0.211742
       0.039247        1.658374        0.939456        0.210714
       0.041279        1.555431        0.897127        0.206616
       0.043311        1.529208        0.839282        0.207896
       0.045470        1.569646        0.789744        0.202416
       0.047883        1.650925        0.781115        0.208044
       0.050425        1.635167        0.715667        0.220162
       0.052965        1.454018        0.701702        0.205960
       0.055632        1.352391        0.680960        0.192526
       0.058553        1.152542        0.613548        0.180285
       0.061601        1.102987        0.561584        0.178990
       0.064649        0.967629        0.529528        0.182834
       0.067952        0.729515        0.483486        0.175868
       0.071509        0.625731        0.451692        0.157453
       0.075192        0.713594        0.434871        0.160742
       0.079002        0.705663        0.425390        0.162932
       0.082939        0.690450        0.409342        0.163545
       0.087258        0.659063        0.377325        0.150850
       0.091831        0.628655        0.349303        0.150032
       0.096530        0.520850        0.316832        0.147938
       0.101483        0.459454        0.294700        0.142949
       0.106691        0.391722        0.264972        0.126190
       0.112153        0.383818        0.237454        0.124044
       0.117868        0.399492        0.232360        0.121826
       0.123838        0.381834        0.240566        0.120170
       0.130189        0.341494        0.256071        0.123807
       0.136920        0.284054        0.252952        0.127522
       0.143906        0.255466        0.254341        0.133706
       0.151273        0.244452        0.221351        0.136078
       0.159020        0.253951        0.188934        0.128566
       0.167150        0.230299        0.166333        0.121211
       0.175786        0.199206        0.155927        0.116012
       0.184804        0.174010        0.150860        0.111331
       0.194203        0.172955        0.146578        0.101837
       0.204110        0.169138        0.137878        0.100453
       0.214652        0.148095        0.140545        0.092372
       0.225703        0.136504        0.138118        0.076858
       0.237260        0.130110        0.118057        0.072230
       0.249454        0.127699        0.108864        0.071064
       0.262155        0.118903        0.106312        0.081142
       0.275618        0.115851        0.114483        0.076939
       0.289844        0.097880        0.093284        0.054187
       0.304705        0.083634        0.093821        0.045644
       0.320327        0.067830        0.095977        0.050098
       0.336712        0.087496        0.077826        0.055621
       0.353986        0.082244        0.072232        0.052890
       0.372148        0.065596        0.065512        0.056336
       0.391201        0.054480        0.056870        0.054155
       0.411269        0.053682        0.052329        0.047180
       0.432353        0.044710        0.056406        0.042150
       0.454453        0.045852        0.045917        0.040771
       0.477696        0.043339        0.057631        0.039866
       0.502210        0.038973        0.049196        0.031333
       0.527994        0.042207        0.039676        0.033961
       0.555047        0.030249        0.044002        0.037629
       0.583499        0.029706        0.038147        0.029116
       0.613473        0.026525        0.032245        0.029432
       0.644973        0.027593        0.030232        0.023379
       0.677996        0.026323        0.030507        0.026710
       0.712671        0.023954        0.023771        0.024219
       0.749251        0.019559        0.024724        0.021704
       0.787736        0.019066        0.025645        0.023057
       0.828126        0.016870        0.021917        0.017802
       0.870548        0.016381        0.020039        0.015243
       0.915130        0.015642        0.018791        0.016113
       0.961998        0.014956        0.016114        0.013696
       1.011279        0.012082        0.015701        0.012902
       1.063227        0.012018        0.013659        0.013166
       1.117716        0.011223        0.013050        0.013433
       1.174999        0.009555        0.011529        0.009510
       1.235330        0.008538        0.011360        0.010083
       1.298583        0.008404        0.009836        0.009375
       1.365137        0.007980        0.009465        0.008608
       1.435122        0.006730        0.009289        0.008229
       1.508662        0.005961        0.007141        0.007513
       1.586013        0.005749        0.008197        0.007434
       1.667429        0.005013        0.006798        0.006278
       1.753036        0.005267        0.005987        0.006547
       1.842834        0.004213        0.005931        0.005860
       1.937205        0.003771        0.004895        0.004459
