  year  month    day   hour    Press     Rain     SRad     NRad        H       LE        G    Ta002     U010   D010   ust005      wT005
  2008      5      1   0.25   1003.3      0.0      0.0    -56.2    -35.9     -1.8    -13.2     7.53     4.96    170    0.239    -0.0288
  2008      5      1   0.75   1003.5      0.0      0.0    -58.1    -36.2      1.5    -13.0     7.77     5.07    167    0.237    -0.0289
  2008      5      1   1.25   1003.8      0.0      0.0    -57.4    -36.9     -1.2    -13.1     7.47     4.86    168    0.257    -0.0295
  2008      5      1   1.75   1004.0      0.0      0.0    -56.1    -33.9     -2.8    -13.1     6.93     4.64    160    0.222    -0.0272
  2008      5      1   2.25   1004.3      0.0      0.0    -58.1    -32.1     -5.0    -13.0     6.77     4.53    167    0.227    -0.0258
  2008      5      1   2.75   1004.6      0.0      0.0    -55.7    -35.0     -5.6    -12.9     6.67     4.34    160    0.223    -0.0281
  2008      5      1   3.25   1004.9      0.0      0.0    -52.2    -24.8     -2.2    -12.5     6.30     4.01    155    0.201    -0.0199
  2008      5      1   3.75   1005.2      0.0      0.0    -54.9    -23.3     -2.9    -11.8     6.07     4.31    151    0.192    -0.0187
  2008      5      1   4.25   1005.6      0.0      3.7    -53.2    -27.8     -2.6    -10.8     6.13     4.94    161    0.234    -0.0222
  2008      5      1   4.75   1006.0      0.0     36.3    -30.6    -27.9      0.8     -9.3     6.53     5.31    163    0.287    -0.0221
  2008      5      1   5.25   1006.4      0.0    100.3     18.3    -11.6     14.1     -7.3     7.20     5.48    170    0.318    -0.0086
  2008      5      1   5.75   1006.9      0.0    116.7     38.4     -7.2     21.4     -4.6     7.63     6.41    178    0.355    -0.0047
  2008      5      1   6.25   1007.2      0.0    247.3    112.6     20.0     39.8     -1.4     8.23     5.99    182    0.362     0.0178
  2008      5      1   6.75   1007.5      0.0    332.3    169.7     45.2     74.1      2.3     9.17     6.80    195    0.429     0.0396
  2008      5      1   7.25   1007.8      0.0    403.0    224.8     60.8     96.1      6.2     9.97     7.15    198    0.431     0.0533
  2008      5      1   7.75   1008.2      0.0    408.3    248.6     67.7     99.2     10.1    10.27     7.31    202    0.424     0.0591
  2008      5      1   8.25   1008.4      0.0    397.3    245.2     59.6     88.9     14.0    10.60     7.79    201    0.404     0.0521
  2008      5      1   8.75   1008.7      0.0    617.3    400.7    102.7    135.5     18.2    11.60     7.61    201    0.414     0.0891
  2008      5      1   9.25   1009.0      0.0    579.7    382.3    116.7    160.3     22.4    11.97     7.69    197    0.474     0.1017
  2008      5      1   9.75   1009.3      0.0    573.7    378.7    108.5    140.7     26.2    12.13     7.77    184    0.445     0.0941
  2008      5      1  10.25   1009.4      0.0    529.7    365.0     94.9    148.2     28.8    12.43     7.56    191    0.431     0.0836
  2008      5      1  10.75   1009.6      0.0    462.0    313.7     82.6    148.0     29.7    12.50     8.19    195    0.460     0.0737
  2008      5      1  11.25   1009.8      0.0    451.7    312.3     61.1      NaN     29.4    12.47     6.39    214    0.387     0.0518
  2008      5      1  11.75   1009.9      0.0    514.7    346.2     85.6      NaN     28.4    12.97     7.26    216    0.384     0.0693
  2008      5      1  12.25   1010.1      0.0    444.3    297.2     61.2      NaN     27.1    13.27     7.21    197    0.416     0.0518
  2008      5      1  12.75   1010.4      0.0    638.3    434.5     77.9    178.9     25.4    14.07     7.32    200    0.420     0.0720
  2008      5      1  13.25   1010.5      0.0    239.3    153.4     13.0      NaN     22.9    13.23     6.34    228    0.287     0.0105
  2008      5      1  13.75   1010.6      0.4    582.7    395.8     74.8      NaN     19.3    12.47     7.01    264    0.434     0.0604
  2008      5      1  14.25   1011.2      0.0    484.3    299.5     70.1      NaN     15.2    12.03     6.22    258    0.401     0.0565
  2008      5      1  14.75   1011.7      0.0    467.0    296.4     72.2      NaN     11.2    12.10     5.93    240    0.362     0.0582
  2008      5      1  15.25   1012.3      0.0    250.0    150.6     21.9     67.8      7.6    11.47     4.87    216    0.271     0.0208
  2008      5      1  15.75   1012.6      0.0    279.0    155.9     31.8     84.2      4.4    11.47     5.15    194    0.323     0.0295
  2008      5      1  16.25   1012.8      0.0    388.0    213.0     47.3    100.7      1.2    11.97     5.38    202    0.324     0.0428
  2008      5      1  16.75   1012.8      0.0    180.0     60.8      1.3     53.2     -2.0    11.67     4.44    199    0.239     0.0036
  2008      5      1  17.25   1012.9      0.0    210.3     75.2      3.3     49.5     -5.1    11.63     4.24    199    0.252     0.0050
  2008      5      1  17.75   1013.1      0.0    127.7     20.5     -9.3     27.9     -7.7    11.43     3.55    195    0.202    -0.0061
  2008      5      1  18.25   1013.5      0.0     65.7    -20.5    -12.3      9.5     -9.8    10.90     2.98    192    0.118    -0.0094
  2008      5      1  18.75   1013.9      0.0     17.3    -39.7     -6.6      1.7    -11.7     9.80     2.49    167    0.046    -0.0052
  2008      5      1  19.25   1014.4      0.0      0.7    -45.1     -8.8     -0.7    -13.5     8.83     2.75    168    0.047    -0.0071
  2008      5      1  19.75   1014.6      0.0      0.0    -42.0     -5.8     -0.1    -15.3     8.53     2.31    146    0.048    -0.0046
  2008      5      1  20.25   1014.9      0.0      0.0    -42.4     -4.2     -0.4    -16.7     8.07     2.48    138    0.044    -0.0033
  2008      5      1  20.75      NaN      NaN      NaN      NaN      NaN      NaN    -17.5      NaN      NaN    150      NaN        NaN
  2008      5      1  21.25      NaN      NaN      NaN      NaN      NaN      NaN    -17.6      NaN      NaN    NaN      NaN        NaN
  2008      5      1  21.75      NaN      NaN      NaN      NaN      NaN      NaN    -17.2      NaN      NaN    NaN      NaN        NaN
  2008      5      1  22.25      NaN      NaN      NaN      NaN      NaN      NaN    -16.3      NaN      NaN    NaN      NaN        NaN
  2008      5      1  22.75      NaN      NaN      NaN      NaN      NaN      NaN    -15.3      NaN      NaN    NaN      NaN        NaN
  2008      5      1  23.25      NaN      NaN      NaN      NaN      NaN      NaN    -14.3      NaN      NaN    NaN      NaN        NaN
  2008      5      1  23.75      NaN      NaN      NaN      NaN      NaN      NaN    -13.6      NaN      NaN    148      NaN        NaN
  2008      5      2   0.25      NaN      NaN      NaN      NaN      NaN      NaN    -17.2      NaN      NaN    NaN      NaN        NaN
  2008      5      2   0.75      NaN      NaN      NaN      NaN      NaN      NaN    -16.7      NaN      NaN    NaN      NaN        NaN
  2008      5      2   1.25      NaN      NaN      NaN      NaN      NaN      NaN    -16.8      NaN      NaN    NaN      NaN        NaN
  2008      5      2   1.75      NaN      NaN      NaN      NaN      NaN      NaN    -17.4      NaN      NaN    NaN      NaN        NaN
  2008      5      2   2.25      NaN      NaN      NaN      NaN      NaN      NaN    -18.0      NaN      NaN    NaN      NaN        NaN
  2008      5      2   2.75      NaN      NaN      NaN      NaN      NaN      NaN    -18.1      NaN      NaN    NaN      NaN        NaN
  2008      5      2   3.25      NaN      NaN      NaN      NaN      NaN      NaN    -17.5      NaN      NaN    NaN      NaN        NaN
  2008      5      2   3.75      NaN      NaN      NaN      NaN      NaN      NaN    -16.3      NaN      NaN    NaN      NaN        NaN
  2008      5      2   4.25      NaN      NaN      NaN      NaN      NaN      NaN    -14.7      NaN      NaN    NaN      NaN        NaN
  2008      5      2   4.75      NaN      NaN      NaN      NaN      NaN      NaN    -12.5      NaN      NaN    NaN      NaN        NaN
  2008      5      2   5.25      NaN      NaN      NaN      NaN      NaN      NaN     -9.5      NaN      NaN    NaN      NaN        NaN
  2008      5      2   5.75      NaN      NaN      NaN      NaN      NaN      NaN     -5.7      NaN      NaN    191      NaN        NaN
  2008      5      2   6.25   1020.1      0.0    200.7     83.7      NaN      NaN     -0.9     8.70     2.75    194      NaN        NaN
  2008      5      2   6.75   1020.3      0.0    320.0    160.0     35.1     41.8      4.6     9.90     2.89    194    0.189     0.0297
  2008      5      2   7.25   1020.6      0.0    344.0    177.9     31.9     44.5     10.5    10.80     3.07    205    0.182     0.0274
  2008      5      2   7.75   1020.8      0.0    482.3    276.0     55.7     74.9     16.6    11.50     2.90    208    0.163     0.0478
  2008      5      2   8.25   1021.0      0.0    553.3    339.7     80.8    121.8     22.6    12.33     3.13    221    0.232     0.0702
  2008      5      2   8.75   1021.2      0.0    641.0    395.2     77.8    134.5     28.5    13.00     2.91    232    0.212     0.0685
  2008      5      2   9.25   1021.4      0.0    728.0    456.8    115.9    196.1     34.0    13.80     4.04    237    0.263     0.1022
  2008      5      2   9.75   1021.7      0.0    785.7    506.1    129.5    237.5     38.8    14.23     4.33    246    0.278     0.1150
  2008      5      2  10.25   1021.8      0.0    737.0    479.7    125.2    235.6     42.4    14.43     4.51    236    0.299     0.1116
  2008      5      2  10.75   1021.8      0.0    850.0    562.3    136.2    238.6     44.6    14.93     4.93    226    0.314     0.1207
  2008      5      2  11.25   1022.0      0.0    697.0    459.4    111.5    210.8     45.5    14.90     5.12    226    0.281     0.0996
  2008      5      2  11.75   1022.1      0.0    660.0    427.7     95.8    200.4     44.8    15.00     4.87    233    0.275     0.0865
  2008      5      2  12.25   1022.2      0.0    672.7    438.6    104.2    201.1     42.5    15.33     4.23    252    0.283     0.0935
  2008      5      2  12.75   1022.5      0.0    406.7    266.0     63.3    163.9     38.4    14.27     4.27    328    0.278     0.0583
  2008      5      2  13.25   1022.7      0.0    432.0    281.0      NaN      NaN     32.8    13.73     4.25    343      NaN        NaN
  2008      5      2  13.75   1022.9      0.0    248.0    146.2     16.1     63.1     26.5    13.90     2.56      1    0.154     0.0158
  2008      5      2  14.25   1022.8      0.0    427.3    258.0     49.5    142.7     20.7    14.80     2.07    304    0.132     0.0464
  2008      5      2  14.75   1022.7      0.0    410.0    232.4     29.3    104.7     16.1    15.10     3.00    281      NaN     0.0285
  2008      5      2  15.25   1022.9      0.0    492.3    278.7     72.1    158.5     12.6    15.37     2.25    356    0.171     0.0653
  2008      5      2  15.75   1023.1      0.0    350.7    192.1     28.4    113.6      9.5    15.23     2.41    336    0.199     0.0281
  2008      5      2  16.25   1023.3      0.0    200.7     95.2     11.8     95.4      6.1    14.87     2.46      4    0.190     0.0139
  2008      5      2  16.75   1023.5      0.0    198.0     98.4      9.6     81.3      2.3    14.50     3.43    340    0.208     0.0113
  2008      5      2  17.25   1023.6      0.0    124.0     42.5     -8.8     45.0     -1.4    14.03     2.73    343    0.168    -0.0051
  2008      5      2  17.75   1023.7      0.0     94.0      3.6    -11.3     24.6     -4.8    13.40     2.44    351    0.130    -0.0080
  2008      5      2  18.25   1024.0      0.0     59.3    -17.8    -10.4     13.3     -7.7    12.73     2.21    342    0.102    -0.0078
  2008      5      2  18.75   1024.2      0.0     13.0    -36.8     -6.0      5.0    -10.4    11.57     1.91      5      NaN    -0.0045
  2008      5      2  19.25   1024.4      0.0      0.3    -37.7     -9.3      5.1    -12.9    11.13     1.94      7    0.076    -0.0072
  2008      5      2  19.75   1024.7      0.0      0.0    -27.2     -6.3      2.2    -14.8    10.23     1.84      4    0.029    -0.0049
  2008      5      2  20.25   1024.9      0.0      0.0    -26.3     -0.8      0.3    -15.9    10.33     1.48     22    0.021    -0.0006
  2008      5      2  20.75   1025.0      0.0      0.0    -30.8     -4.7      2.4    -16.2    10.20     2.06     48    0.043    -0.0036
  2008      5      2  21.25   1025.1      0.0      0.0    -35.8     -3.7      1.0    -16.2     9.83     1.65     62      NaN    -0.0029
  2008      5      2  21.75   1025.2      0.0      0.0    -33.7     -6.6      2.0    -16.7     9.37     1.76     74    0.065    -0.0051
  2008      5      2  22.25   1025.3      0.0      0.0    -32.2     -1.8     -0.0    -17.5     9.63     1.71     87    0.027    -0.0014
  2008      5      2  22.75   1025.4      0.0      0.0    -32.8     -2.8      0.4    -18.4     8.87     1.13     69      NaN    -0.0022
  2008      5      2  23.25   1025.5      0.0      0.0    -34.3     -1.6      0.4    -18.6     7.23     1.11     53      NaN    -0.0013
  2008      5      2  23.75   1025.6      0.0      0.0    -32.3     -0.6      0.2    -18.1     7.30     1.29     55      NaN    -0.0005
  2008      5      3   0.25   1025.8      0.0      0.0    -32.0     -0.5      0.0    -17.6     7.10     1.57     44      NaN    -0.0004
